품명,규격,단위중량,재질
H형강,100*100*6*8,17.2,SS400
H형강,125*125*6.5*9,23.8,SS400/A36
H형강,150*75*5*7,14.0,SHN400
H형강,148*100*6*9,21.1,SS490
H형강,150*150*7*10,31.5,SS540
H형강,198*99*4.5*7,18.2,SM400A
H형강,200*100*5.5*8,21.3,SM400B
H형강,194*150*6*9,30.6,SHN490
H형강,200*200*8*12,49.9,SM490A
H형강,200*204*12*12,56.2,SM490B
H형강,208*202*10*16,65.7,SM490YA
H형강,248*124*5*8,25.7,SM490YB
H형강,250*125*6*9,29.6,SS400
H형강,244*175*7*11,44.1,SS400
H형강,244*252*11*11,64.4,SS400
H형강,248*249*8*13,66.5,SS400
H형강,250*250*9*14,72.4,SS400
H형강,250*255*14*14,82.2,SS400
H형강,298*149*5.5*8,32.0,SS400
H형강,300*150*6.5*9,36.7,SS400
H형강,294*200*8*12,56.8,SS400
H형강,298*201*9*14,65.4,SS400
H형강,294*302*12*12,84.5,SS400
H형강,298*299*9*14,87.0,SS400
H형강,300*300*10*15,94.0,SS400
H형강,300*305*15*15,106.0,SS400
H형강,304*301*11*17,106.0,SS400
H형강,310*305*15*20,130.0,SS400
H형강,310*310*20*20,142.0,SS400
H형강,346*174*6*9,41.4,SS400
H형강,350*175*7*11,49.6,SS400
H형강,354*176*8*13,57.8,SS400
H형강,336*249*8*12,69.2,SS400
H형강,340*250*9*14,79.7,SS400
H형강,344*348*10*16,115.0,SS400
H형강,344*354*16*16,131.0,SS400
H형강,350*350*12*19,137.0,SS400
H형강,350*357*19*19,156.0,SS400
H형강,396*199*7*11,56.6,SS400
H형강,400*200*8*13,66.0,SS400
H형강,404*201*9*15,75.5,SS400
H형강,386*299*9*14,94.3,SS400
H형강,390*300*10*16,107.0,SS400
H형강,388*402*15*15,140.0,SS400
H형강,394*398*11*18,147.0,SS400
H형강,394*405*18*18,168.0,SS400
H형강,400*400*13*21,172.0,SS400
H형강,400*408*21*21,197.0,SS400
H형강,406*403*16*24,200.0,SS400
H형강,414*405*18*28,232.0,SS400
H형강,428*407*20*35,283.0,SS400
H형강,458*417*30*50,415.0,SS400
H형강,498*432*45*70,605.0,SS400
H형강,446*199*8*12,66.2,SS400
H형강,450*200*9*14,76.0,SS400
H형강,434*299*10*15,106.0,SS400
H형강,440*300*11*18,124.0,SS400
H형강,496*199*9*14,79.5,SS400
H형강,500*200*10*16,89.6,SS400
H형강,506*201*11*19,103.0,SS400
H형강,482*300*11*15,114.0,SS400
H형강,488*300*11*18,128.0,SS400
H형강,596*199*10*15,94.6,SS400
H형강,600*200*11*17,106.0,SS400
H형강,606*201*12*20,120.0,SS400
H형강,612*202*13*23,134.0,SS400
H형강,582*300*12*17,137.0,SS400
H형강,588*300*12*20,151.0,SS400
H형강,594*302*14*23,175.0,SS400
H형강,692*300*13*20,166.0,SS400
H형강,700*300*13*24,185.0,SS400
H형강,708*302*15*28,215.0,SS400
H형강,792*300*14*22,191.0,SS400
H형강,800*300*14*26,210.0,SS400
H형강,808*302*16*30,241.0,SS400
H형강,890*299*15*23,213.0,SS400
H형강,900*300*16*28,243.0,SS400
H형강,912*302*18*34,286.0,SS400
H형강,918*303*19*37,307.0,SS400
