ID,카테고리코드,카테고리명,제품명,제품코드,규격,설명,가격,가격단위,단위,최소주문수량,재고상태,원산지,제조사,치수,중량,재질,단위중량,계산기유형,계산기보유,사용가능재질,사용가능원산지,재질별추가가격,원산지별추가가격,특징,배송정보,추천제품,활성화,기본길이,최소길이,최대길이,표준길이,홈페이지표시,조회수,등록일,삭제(Y)
5,steel-plate,철강(강판),일반 강판 6T,,6T×1219×2438mm,"일반 구조용 및 용접 구조용으로 사용되는 열간 압연 강판.
/uploads/products/desc_1760335972_68ec9864c0cc3.gif",1000,kg,TON,1,in_stock,일본산,,,,SS400,141,sheet,Y,"SS400,SM490A,SM520","일본산,국산,바레인산",SS400:0;SM490A:0;SM520:0,국산:0;일본산:0;바레인산:0,,,N,Y,6,,,,Y,170,2025-08-05 2:38,
9,angle,ㄱ형강(앵글),ㄱ형강(앵글) 50×50×5T,ANG-50-50,50×50×5T,/uploads/products/desc_1760335972_68ec9864c0cc3.gif,1000,piece,,1,in_stock,,,,,,3.77,linear,Y,"SS275,SS400,SS400/A36,SHN400,SS490,SS540,SM400A,SM400B,SHN490,SM490A,SM490B,SM490YA,SM490YB","국산,중국산,일본산,장기재고,중고",,,,,N,Y,6,8,16,10,Y,163,2025-09-18 12:16,
10,channel,ㄷ형강(찬넬),ㄷ형강(채널) 100×50×5×7.5,CH-100-50,,/uploads/products/desc_1760335972_68ec9864c0cc3.gif,1000,piece,,1,in_stock,중국산,,,,SS400,9.36,linear,Y,SS275,"국산,중국산,일본산,장기재고,중고",SS400:0;SS400/A36:0;SHN400:0;SS490:0;SS540:0;SM400A:0;SM400B:0;SHN490:0;SM490A:0;SM490B:0;SM490YA:0;SM490YB:0,중국산:0;베트남산:0,,,N,Y,6,8,16,10,N,125,2025-09-18 12:16,
11,deck-plate,테크플레이트,데크플레이트 0.8T×600×2400,DP-08-600,0.8T×600×2400,/uploads/products/desc_1760335972_68ec9864c0cc3.gif,1000,kg,,1,in_stock,,,,,,22.6,sheet,Y,COLOR,"국산,장기재고",,,,,N,Y,6,2.4,12,6,Y,120,2025-09-18 12:16,
90,angle,ㄱ형강(앵글),ㄱ형강,,25×25×3T,"구조물의 보강, 프레임, 브라켓 등에 사용되는 L자형 구조용 강재입니다.
/uploads/products/desc_1760335972_68ec9864c0cc3.gif",1000,piece,TON,1,in_stock,,,,,SS400,1.12,linear,Y,"SS275,SS400,SS400/A36,SHN400,SS490,SS540,SM400A,SM400B,SHN490,SM490A,SM490B,SM490YA,SM490YB","국산,중국산,일본산,장기재고,중고",SS400:0;SS400/A36:0;SHN400:0;SS490:0;SS540:0;SM400A:0;SM400B:0;SHN490:0;SM490A:0;SM490B:0;SM490YA:0;SM490YB:0,,,,N,Y,6,8,16,10,N,63,2025-09-22 2:21,
91,angle,ㄱ형강(앵글),ㄱ형강 30×30×3T,,30×30×3T,"구조물의 보강, 프레임, 브라켓 등에 사용되는 L자형 구조용 강재입니다.
/uploads/products/desc_1760335972_68ec9864c0cc3.gif",1000,piece,TON,1,in_stock,,,,,,1.36,linear,Y,"SS275,SS400,SS400/A36,SHN400,SS490,SS540,SM400A,SM400B,SHN490,SM490A,SM490B,SM490YA,SM490YB","국산,중국산,일본산,장기재고,중고",,,,,N,Y,6,8,16,10,N,49,2025-09-22 2:21,
92,angle,ㄱ형강(앵글),ㄱ형강 40×40×3T,,40×40×3T,"구조물의 보강, 프레임, 브라켓 등에 사용되는 L자형 구조용 강재입니다.
/uploads/products/desc_1760335972_68ec9864c0cc3.gif",1000,piece,TON,1,in_stock,,,,,,1.83,linear,Y,"SS275,SS400,SS400/A36,SHN400,SS490,SS540,SM400A,SM400B,SHN490,SM490A,SM490B,SM490YA,SM490YB","국산,중국산,일본산,장기재고,중고",,,,,N,Y,6,8,16,10,N,52,2025-09-22 2:21,
93,angle,ㄱ형강(앵글),ㄱ형강 40×40×4T,,40×40×4T,"구조물의 보강, 프레임, 브라켓 등에 사용되는 L자형 구조용 강재입니다.
/uploads/products/desc_1760335972_68ec9864c0cc3.gif",1000,piece,TON,1,in_stock,,,,,,2.42,linear,Y,"SS275,SS400,SS400/A36,SHN400,SS490,SS540,SM400A,SM400B,SHN490,SM490A,SM490B,SM490YA,SM490YB","국산,중국산,일본산,장기재고,중고",,,,,N,Y,6,8,16,10,N,39,2025-09-22 2:21,
94,angle,ㄱ형강(앵글),ㄱ형강 40×40×5T,,40×40×5T,"구조물의 보강, 프레임, 브라켓 등에 사용되는 L자형 구조용 강재입니다.
/uploads/products/desc_1760335972_68ec9864c0cc3.gif",1000,piece,TON,1,in_stock,,,,,,2.95,linear,Y,"SS275,SS400,SS400/A36,SHN400,SS490,SS540,SM400A,SM400B,SHN490,SM490A,SM490B,SM490YA,SM490YB","국산,중국산,일본산,장기재고,중고",,,,,N,Y,6,8,16,10,N,54,2025-09-22 2:21,
95,angle,ㄱ형강(앵글),ㄱ형강 45×45×4T,,45×45×4T,"구조물의 보강, 프레임, 브라켓 등에 사용되는 L자형 구조용 강재입니다.
/uploads/products/desc_1760335972_68ec9864c0cc3.gif",1000,piece,TON,1,in_stock,,,,,,2.74,linear,Y,"SS275,SS400,SS400/A36,SHN400,SS490,SS540,SM400A,SM400B,SHN490,SM490A,SM490B,SM490YA,SM490YB","국산,중국산,일본산,장기재고,중고",,,,,N,Y,6,8,16,10,N,39,2025-09-22 2:21,
96,angle,ㄱ형강(앵글),ㄱ형강 50×50×4T,,50×50×4T,"구조물의 보강, 프레임, 브라켓 등에 사용되는 L자형 구조용 강재입니다.
/uploads/products/desc_1760335972_68ec9864c0cc3.gif",1000,piece,TON,1,in_stock,,,,,,3.06,linear,Y,"SS275,SS400,SS400/A36,SHN400,SS490,SS540,SM400A,SM400B,SHN490,SM490A,SM490B,SM490YA,SM490YB","국산,중국산,일본산,장기재고,중고",,,,,N,Y,6,8,16,10,N,52,2025-09-22 2:21,
97,angle,ㄱ형강(앵글),ㄱ형강 50×50×6T,,50×50×6T,"구조물의 보강, 프레임, 브라켓 등에 사용되는 L자형 구조용 강재입니다.
/uploads/products/desc_1760335972_68ec9864c0cc3.gif",1000,piece,TON,1,in_stock,,,,,,4.43,linear,Y,"SS275,SS400,SS400/A36,SHN400,SS490,SS540,SM400A,SM400B,SHN490,SM490A,SM490B,SM490YA,SM490YB","국산,중국산,일본산,장기재고,중고",,,,,N,Y,6,8,16,10,N,78,2025-09-22 2:21,
98,angle,ㄱ형강(앵글),ㄱ형강 60×60×4T,,60×60×4T,"구조물의 보강, 프레임, 브라켓 등에 사용되는 L자형 구조용 강재입니다.
/uploads/products/desc_1760335972_68ec9864c0cc3.gif",1000,piece,TON,1,in_stock,,,,,,3.68,linear,Y,"SS275,SS400,SS400/A36,SHN400,SS490,SS540,SM400A,SM400B,SHN490,SM490A,SM490B,SM490YA,SM490YB","국산,중국산,일본산,장기재고,중고",,,,,N,Y,6,8,16,10,N,38,2025-09-22 2:21,
99,angle,ㄱ형강(앵글),ㄱ형강 60×60×5T,,60×60×5T,"구조물의 보강, 프레임, 브라켓 등에 사용되는 L자형 구조용 강재입니다.
/uploads/products/desc_1760335972_68ec9864c0cc3.gif",1000,piece,TON,1,in_stock,,,,,,4.55,linear,Y,"SS275,SS400,SS400/A36,SHN400,SS490,SS540,SM400A,SM400B,SHN490,SM490A,SM490B,SM490YA,SM490YB","국산,중국산,일본산,장기재고,중고",,,,,N,Y,6,8,16,10,N,41,2025-09-22 2:21,
100,angle,ㄱ형강(앵글),ㄱ형강 60×60×6T,,60×60×6T,"구조물의 보강, 프레임, 브라켓 등에 사용되는 L자형 구조용 강재입니다.
/uploads/products/desc_1760335972_68ec9864c0cc3.gif",1000,piece,TON,1,in_stock,,,,,,5.37,linear,Y,"SS275,SS400,SS400/A36,SHN400,SS490,SS540,SM400A,SM400B,SHN490,SM490A,SM490B,SM490YA,SM490YB","국산,중국산,일본산,장기재고,중고",,,,,N,Y,6,8,16,10,N,35,2025-09-22 2:21,
101,angle,ㄱ형강(앵글),ㄱ형강 65×65×6T,,65×65×6T,"구조물의 보강, 프레임, 브라켓 등에 사용되는 L자형 구조용 강재입니다.
/uploads/products/desc_1760335972_68ec9864c0cc3.gif",1000,piece,TON,1,in_stock,,,,,,5.91,linear,Y,"SS275,SS400,SS400/A36,SHN400,SS490,SS540,SM400A,SM400B,SHN490,SM490A,SM490B,SM490YA,SM490YB","국산,중국산,일본산,장기재고,중고",,,,,N,Y,6,8,16,10,N,57,2025-09-22 2:21,
102,angle,ㄱ형강(앵글),ㄱ형강 65×65×8T,,65×65×8T,"구조물의 보강, 프레임, 브라켓 등에 사용되는 L자형 구조용 강재입니다.
/uploads/products/desc_1760335972_68ec9864c0cc3.gif",1000,piece,TON,1,in_stock,,,,,,7.66,linear,Y,"SS275,SS400,SS400/A36,SHN400,SS490,SS540,SM400A,SM400B,SHN490,SM490A,SM490B,SM490YA,SM490YB","국산,중국산,일본산,장기재고,중고",,,,,N,Y,6,8,16,10,N,34,2025-09-22 2:21,
103,angle,ㄱ형강(앵글),ㄱ형강 70×70×6T,,70×70×6T,"구조물의 보강, 프레임, 브라켓 등에 사용되는 L자형 구조용 강재입니다.
/uploads/products/desc_1760335972_68ec9864c0cc3.gif",1000,piece,TON,1,in_stock,,,,,,6.38,linear,Y,"SS275,SS400,SS400/A36,SHN400,SS490,SS540,SM400A,SM400B,SHN490,SM490A,SM490B,SM490YA,SM490YB","국산,중국산,일본산,장기재고,중고",,,,,N,Y,6,8,16,10,N,36,2025-09-22 2:21,
104,angle,ㄱ형강(앵글),ㄱ형강 75×75×6T,,75×75×6T,"구조물의 보강, 프레임, 브라켓 등에 사용되는 L자형 구조용 강재입니다.
/uploads/products/desc_1760335972_68ec9864c0cc3.gif",1000,piece,TON,1,in_stock,,,,,,6.85,linear,Y,"SS275,SS400,SS400/A36,SHN400,SS490,SS540,SM400A,SM400B,SHN490,SM490A,SM490B,SM490YA,SM490YB","국산,중국산,일본산,장기재고,중고",,,,,N,Y,6,8,16,10,N,51,2025-09-22 2:21,
105,angle,ㄱ형강(앵글),ㄱ형강 75×75×9T,,75×75×9T,"구조물의 보강, 프레임, 브라켓 등에 사용되는 L자형 구조용 강재입니다.
/uploads/products/desc_1760335972_68ec9864c0cc3.gif",1000,piece,TON,1,in_stock,,,,,,9.96,linear,Y,"SS275,SS400,SS400/A36,SHN400,SS490,SS540,SM400A,SM400B,SHN490,SM490A,SM490B,SM490YA,SM490YB","국산,중국산,일본산,장기재고,중고",,,,,N,Y,6,8,16,10,N,45,2025-09-22 2:21,
106,angle,ㄱ형강(앵글),ㄱ형강 75×75×12T,,75×75×12T,"구조물의 보강, 프레임, 브라켓 등에 사용되는 L자형 구조용 강재입니다.
/uploads/products/desc_1760335972_68ec9864c0cc3.gif",1000,piece,TON,1,in_stock,,,,,,13,linear,Y,"SS275,SS400,SS400/A36,SHN400,SS490,SS540,SM400A,SM400B,SHN490,SM490A,SM490B,SM490YA,SM490YB","국산,중국산,일본산,장기재고,중고",,,,,N,Y,6,8,16,10,N,28,2025-09-22 2:21,
